timestamp,open,high,low,close,volume
2024-12-30,279.28,279.57,279.09,279.28,1780793.0
2024-12-31,279.28,281.15,278.09,278.65,1393065.0
2025-01-01,278.65,278.65,277.14,277.52,1965423.0
2025-01-02,277.52,281.44,277.52,281.25,1094135.0
2025-01-03,281.25,284.94,281.25,282.72,1457471.0
2025-01-06,282.72,288.31,282.72,285.81,1696145.0
2025-01-07,285.81,291.31,285.81,290.89,1599285.0
2025-01-08,290.89,297.5,290.89,295.53,894192.0
2025-01-09,295.53,295.53,278.59,280.13,1850405.0
2025-01-10,280.13,286.02,280.13,283.94,1099119.0
2025-01-13,283.94,284.03,283.34,283.53,1827455.0
2025-01-14,283.53,287.84,283.53,287.24,1691397.0
2025-01-15,287.24,287.24,282.92,283.72,1699731.0
2025-01-16,283.72,286.35,281.0,282.39,1060450.0
2025-01-17,282.39,289.26,282.39,286.81,1834327.0
2025-01-20,286.81,295.25,286.81,295.08,1287169.0
2025-01-21,295.08,303.4,295.08,300.79,1601295.0
2025-01-22,300.79,300.79,297.94,298.99,2428563.0
2025-01-23,298.99,303.89,298.99,302.78,1167368.0
2025-01-24,302.78,309.69,302.78,308.64,1799721.0
2025-01-27,308.64,308.64,300.91,304.27,1067009.0
2025-01-28,304.27,304.27,298.75,300.9,1492613.0
2025-01-29,300.9,302.87,300.6,302.57,1857342.0
2025-01-30,302.57,306.16,302.57,304.31,1652419.0
2025-01-31,304.31,311.93,304.31,311.87,1356449.0
2025-02-03,311.87,322.12,311.87,321.9,1048621.0
2025-02-04,321.9,323.77,319.45,321.03,1775554.0
2025-02-05,321.03,321.03,304.85,305.87,1280029.0
2025-02-06,305.87,305.87,299.0,302.12,1077960.0
2025-02-07,302.12,302.12,298.83,299.63,1354299.0
2025-02-10,299.63,302.54,299.63,300.3,1016153.0
2025-02-11,300.3,305.72,300.3,305.71,1612336.0
2025-02-12,305.71,316.61,305.71,314.15,1629258.0
2025-02-13,314.15,328.5,314.15,325.22,1736542.0
2025-02-14,325.22,336.72,325.22,335.29,1291340.0
2025-02-17,335.29,335.29,326.64,327.02,2308107.0
2025-02-18,327.02,327.02,320.08,323.12,1341815.0
2025-02-19,323.12,326.51,322.08,324.9,1482341.0
2025-02-20,324.9,324.9,316.76,317.74,1696663.0
2025-02-21,317.74,317.74,313.22,313.39,1779930.0
2025-02-24,313.39,322.64,313.39,321.47,2361118.0
2025-02-25,321.47,323.7,321.47,323.13,2093107.0
2025-02-26,323.13,325.0,321.67,323.99,1294857.0
2025-02-27,323.99,323.99,312.47,312.9,1256796.0
2025-02-28,312.9,319.61,312.9,318.45,1707287.0
2025-03-03,318.45,320.12,316.43,317.3,1481914.0
2025-03-04,317.3,317.3,311.75,312.66,1268985.0
2025-03-05,312.66,317.18,312.66,315.26,1652356.0
2025-03-06,315.26,319.66,311.85,315.37,1778114.0
2025-03-07,315.37,315.37,309.96,313.53,1496571.0
2025-03-10,313.53,328.55,313.53,327.68,1303661.0
2025-03-11,327.68,327.68,322.7,323.25,1580997.0
2025-03-12,323.25,323.25,309.43,309.74,2197162.0
2025-03-13,309.74,309.74,297.83,303.59,1152108.0
2025-03-14,303.59,303.59,293.77,294.6,1777336.0
2025-03-17,294.6,302.76,294.6,302.3,1325988.0
2025-03-18,302.3,310.75,302.3,309.89,1485979.0
2025-03-19,309.89,322.71,309.89,318.64,1623721.0
2025-03-20,318.64,318.64,310.75,310.84,1701279.0
2025-03-21,310.84,315.44,310.84,314.54,1188887.0
2025-03-24,314.54,314.54,303.09,307.35,1366689.0
2025-03-25,307.35,313.04,307.35,310.21,1900514.0
2025-03-26,310.21,310.21,306.58,307.83,2110934.0
2025-03-27,307.83,314.96,307.77,314.04,1487063.0
2025-03-28,314.04,318.62,314.04,318.03,2426469.0
2025-03-31,318.03,330.46,318.03,327.71,1671335.0
2025-04-01,327.71,335.63,327.71,332.94,737453.0
2025-04-02,332.94,332.94,331.88,332.57,1192130.0
2025-04-03,332.57,332.57,323.88,324.52,1648022.0
2025-04-04,324.52,332.64,324.52,331.07,2039704.0
2025-04-07,331.07,331.57,329.23,330.26,1266075.0
2025-04-08,330.26,330.26,315.58,316.06,1355094.0
2025-04-09,316.06,316.06,308.43,311.64,1515302.0
2025-04-10,311.64,311.64,308.44,308.57,994094.0
2025-04-11,308.57,308.57,304.48,307.89,1877390.0
2025-04-14,307.89,315.69,307.89,314.35,1044247.0
2025-04-15,314.35,317.2,314.35,316.4,2299752.0
